sku_id,ASIS_1센터_kg,ASIS_2센터_kg,ASIS_3센터_kg,ASIS_4센터_kg,ASIS_5센터_kg,TO_BE_1센터_kg,TO_BE_2센터_kg,TO_BE_3센터_kg,TO_BE_4센터_kg,TO_BE_5센터_kg,TO_BE_총재고_kg,storage_type
197095,1667.0,5350.0,0.0,0.0,0.0,1014.0,4903.0,0.0,770.5,329.5,7017.0,실온
197797,0.0,0.0,0.0,2134.0,0.0,32.5,10.8,8.3,2076.4,6.0,2134.0,냉동
198581,0.0,0.0,0.0,0.0,861.0,17.4,10.1,4.2,10.0,819.2,860.9,냉동
198880,220.0,0.0,0.0,0.0,0.0,200.7,4.7,0.0,10.0,4.7,220.1,실온
200034,4180.0,3500.0,0.0,3980.0,0.0,4180.0,3500.0,0.0,3767.7,212.3,11660.0,실온
203202,4400.0,7200.0,0.0,5820.0,0.0,3782.0,7200.0,0.0,5820.0,618.0,17420.0,실온
203216,106.0,726.0,0.0,0.0,3107.0,165.1,519.9,0.0,147.1,3107.0,3939.1,실온
203217,0.0,0.0,0.0,0.0,3725.0,132.3,92.3,0.0,149.4,3350.9,3724.9,실온
203218,0.0,0.0,0.0,0.0,1756.0,91.8,46.3,0.0,81.7,1536.1,1755.9,실온
204590,0.0,0.0,0.0,315.3,0.0,29.8,8.9,12.4,255.3,8.9,315.3,냉동
211959,2640.0,6780.0,0.0,4340.0,0.0,2384.3,6780.0,0.0,4340.0,255.7,13760.0,실온
219674,2020.0,1380.0,0.0,2260.0,0.0,2020.0,1380.0,0.0,2184.7,75.3,5660.0,실온
221145,1220.0,4580.0,0.0,2400.0,0.0,1220.0,4374.0,0.0,2400.0,206.0,8200.0,실온
223855,1340.0,0.0,0.0,1860.0,0.0,1195.7,107.7,0.0,1860.0,36.7,3200.1,실온
225862,2831.5,0.0,0.0,0.0,0.0,2681.7,40.9,39.4,44.5,25.0,2831.5,냉동
225864,1002.5,0.0,0.0,0.0,0.0,932.8,21.0,10.7,26.5,11.4,1002.4,냉동
225868,779.0,0.0,0.0,0.0,0.0,712.2,10.5,6.8,40.6,8.9,779.0,냉동
228381,3000.0,0.0,0.0,0.0,0.0,1787.6,406.0,0.0,553.0,253.4,3000.0,냉장
228429,0.0,1360.0,0.0,0.0,0.0,60.0,1254.0,0.0,39.0,7.0,1360.0,실온
229287,511.2,0.0,0.0,0.0,910.7,461.2,24.7,0.0,25.3,910.7,1421.9,냉장
229740,0.0,375.6,0.0,0.0,559.4,22.8,332.1,0.0,20.7,559.4,935.0,실온
229741,0.0,3055.8,0.0,0.0,0.0,14.6,3022.7,0.0,12.8,5.6,3055.7,실온
230553,1420.0,0.0,0.0,0.0,0.0,1366.0,19.3,0.0,22.0,12.7,1420.0,실온
234311,4610.0,0.0,0.0,0.0,0.0,4290.8,0.0,0.0,307.5,11.7,4610.0,냉장
