상품코드,센터,재고량_최소단위,재고량_kg,월출고량_kg,이체유입_kg,이체유출_kg,회전율_kg(출고kg/재고kg)
282108,1,0.0,0.0,2584.0,2588.0,2.0,
143622,1,0.0,0.0,2580.0,2740.0,60.0,
369519,1,0.0,0.0,2575.0,2578.0,0.0,
347074,1,0.0,0.0,2564.0,2858.0,294.0,
344723,1,1794.0,3588.0,2562.0,0.0,4204.0,0.714
274946,1,1357.0,3392.5,2532.5,3.0,5726.5,0.746
359542,1,123.0,1820.4,2530.8,0.0,3197.2,1.39
701640,1,446.0,446.0,2529.0,0.0,0.0,5.67
234313,1,660.0,3300.0,2505.0,20.0,4285.0,0.759
450955,1,310.0,6200.0,2500.0,200.0,14640.0,0.403
458331,1,22.0,440.0,2500.0,0.0,7120.0,5.682
322687,1,12456.0,2802.6,2489.4,16.0,4698.8,0.888
391083,1,0.0,0.0,2489.0,2510.0,0.0,
198880,1,11.0,220.0,2480.0,0.0,720.0,11.273
203216,1,106.0,106.0,2476.0,0.0,244.0,23.358
386084,1,230.0,460.0,2476.0,0.0,0.0,5.383
239196,1,0.0,0.0,2471.7,2474.0,2.0,
234311,1,922.0,4610.0,2470.0,10.0,4255.0,0.536
236220,1,503.0,3722.2000000000003,2464.2,0.0,222.4,0.662
389698,1,0.0,0.0,2463.0,2472.0,0.0,
114328,1,1054.0,969.6800000000001,2442.6,0.0,2275.3599999999997,2.519
154639,1,175.0,560.0,2438.4,3.0,2003.4,4.354
270084,1,0.0,0.0,2436.0,2470.0,0.0,
438973,1,0.0,0.0,2418.0,2445.0,0.0,
437897,1,0.0,0.0,2412.0,2412.0,0.0,
438711,1,0.0,0.0,2410.0,2420.0,10.0,
453939,1,0.0,0.0,2410.0,2417.0,0.0,
137736,1,276.0,372.6,2405.7,0.0,0.0,6.457
391174,1,141.0,2115.0,2400.0,0.0,1665.0,1.135
368821,1,97.0,970.0,2390.0,150.0,1790.0,2.464
458697,1,0.0,0.0,2387.0,0.0,0.0,
455118,1,1057.0,1057.0,2386.0,41.0,6874.0,2.257
442105,1,0.0,0.0,2382.76,2425.0,11.36,
460762,1,839.26,839.26,2374.7,0.0,0.0,2.83
292995,1,1463.0,2926.0,2342.0,0.0,3716.0,0.8
386044,1,0.0,0.0,2320.0,2324.0,0.0,
114430,1,0.0,0.0,2316.0,2322.0,0.0,
372137,1,3412.0,3275.52,2312.64,0.0,1987.0,0.706
249240,1,1685.0,842.5,2292.5,0.0,338.0,2.721
259353,1,1609.0,571.1949999999999,2266.32,0.0,52.0,3.968
457259,1,0.0,0.0,2260.0,2260.0,10.0,
359695,1,0.0,0.0,2250.0,2253.0,0.0,
453557,1,0.0,0.0,2247.3,2252.0,0.0,
172567,1,944.0,944.0,2209.0,15.0,3683.0,2.34
458514,1,53.0,400.68,2207.52,0.0,242.4,5.509
386089,1,194.0,776.0,2188.0,0.0,0.0,2.82
397434,1,389.0,2315.328,2178.432,0.0,2917.248,0.941
108424,1,0.0,0.0,2175.16,2177.0,0.0,
429524,1,955.0,1575.75,2174.7,2.0,5410.4,1.38
173175,1,0.0,0.0,2170.0,2177.0,2.0,
166811,1,0.0,0.0,2161.95,2182.0,0.0,
161034,1,818.0,245.39999999999998,2150.7,2.0,224.1,8.764
388745,1,325.0,325.0,2112.0,172.0,1693.0,6.498
387660,1,3023.0,3023.0,2103.0,6.0,6250.0,0.696
305346,1,2362.0,1653.3999999999999,2101.4,11.0,1294.7,1.271
455119,1,5648.0,5648.0,2101.0,15.0,4777.0,0.372
459868,1,0.0,0.0,2096.0,2104.0,0.0,
362327,1,0.0,0.0,2093.0,2093.0,26.0,
455581,1,48360.0,6286.8,2090.4,0.0,10.4,0.333
388676,1,417.0,1251.0,2082.0,246.0,9045.0,1.664
389579,1,2120.0,2120.0,2073.0,2.0,2643.0,0.978
434117,1,0.0,0.0,2070.0,2080.0,0.0,
450615,1,0.0,0.0,2070.0,2076.0,0.0,
337371,1,0.0,0.0,2061.84,2070.0,0.0,
140701,1,0.0,0.0,2058.0,2058.0,0.0,
441678,1,0.0,0.0,2055.0,2055.0,0.0,
370192,1,959.0,959.0,2055.0,1.0,2602.0,2.143
131132,1,853.0,1706.0,2054.0,0.0,1504.0,1.204
460847,1,17045.0,2215.85,2047.5,0.0,0.0,0.924
403039,1,0.0,0.0,2024.0,2024.0,0.0,
356814,1,14.0,19.11,2002.455,0.0,171.9,104.786
106909,1,547.0,984.6,1992.6,0.0,264.0,2.024
138382,1,1021.0,2042.0,1988.0,164.0,4490.0,0.974
203217,1,0.0,0.0,1985.0,1986.0,0.0,
