sku_id,center_id,storage_type,AS_IS_stock_kg,TO_BE_stock_kg_heuristic,변화_kg
117642,3,냉동,1391.0,1391.0,0.0
117642,4,냉동,0.0,0.0,0.0
117642,5,냉동,6747.0,56.17,-6690.83
437087,1,냉장,0.0,0.0,0.0
437087,2,냉장,0.0,0.0,0.0
437087,4,냉장,3640.0,3640.0,0.0
437087,5,냉장,0.0,0.0,0.0
391532,1,실온,0.0,0.0,0.0
391532,2,실온,0.0,0.0,0.0
391532,4,실온,8514.0,8514.0,0.0
391532,5,실온,0.0,0.0,0.0
407408,1,냉동,4777.11,4777.11,0.0
407408,2,냉동,0.0,0.0,0.0
407408,3,냉동,0.0,0.0,0.0
407408,4,냉동,0.0,0.0,0.0
407408,5,냉동,0.0,0.0,0.0
426648,1,냉장,316.8,316.8,0.0
426648,2,냉장,0.0,0.0,0.0
426648,4,냉장,2708.64,2708.64,0.0
426648,5,냉장,0.0,0.0,0.0
437524,1,냉동,0.0,3516.3,3516.3
437524,2,냉동,0.0,0.0,0.0
437524,3,냉동,0.0,0.0,0.0
437524,4,냉동,0.0,0.0,0.0
437524,5,냉동,3596.4,80.1,-3516.3
389708,1,실온,0.0,0.0,0.0
389708,2,실온,4950.0,25.5,-4924.5
389708,4,실온,0.0,0.0,0.0
389708,5,실온,0.0,4924.5,4924.5
370216,1,냉동,0.0,0.0,0.0
370216,2,냉동,0.0,0.0,0.0
370216,3,냉동,0.0,0.0,0.0
370216,4,냉동,0.0,0.0,0.0
370216,5,냉동,0.0,0.0,0.0
373141,1,실온,2780.0,2780.0,0.0
373141,2,실온,0.0,0.0,0.0
373141,4,실온,1900.0,1900.0,0.0
373141,5,실온,0.0,0.0,0.0
435235,1,냉동,2036.0,2036.0,0.0
435235,2,냉동,0.0,0.0,0.0
435235,3,냉동,0.0,0.0,0.0
435235,4,냉동,1046.0,1046.0,0.0
435235,5,냉동,0.0,0.0,0.0
372644,1,냉장,1454.4,1454.4,0.0
372644,2,냉장,0.0,0.0,0.0
372644,4,냉장,1484.64,1484.64,0.0
372644,5,냉장,0.0,0.0,0.0
158924,1,냉동,3608.1,3608.1,0.0
158924,2,냉동,0.0,0.0,0.0
158924,3,냉동,0.0,0.0,0.0
158924,4,냉동,0.0,0.0,0.0
158924,5,냉동,0.0,0.0,0.0
325396,1,냉동,0.0,0.0,0.0
325396,2,냉동,0.0,0.0,0.0
325396,3,냉동,255.0,255.0,0.0
325396,4,냉동,0.0,0.0,0.0
325396,5,냉동,2296.0,2296.0,0.0
454575,1,냉동,420.66,420.66,0.0
454575,2,냉동,0.0,0.0,0.0
454575,3,냉동,0.0,0.0,0.0
454575,4,냉동,513.0,513.0,0.0
454575,5,냉동,0.0,0.0,0.0
123913,1,냉장,1110.0,1110.0,0.0
123913,2,냉장,0.0,0.0,0.0
123913,4,냉장,0.0,0.0,0.0
123913,5,냉장,2536.0,2536.0,0.0
372642,1,냉장,0.0,0.0,0.0
372642,2,냉장,0.0,0.0,0.0
372642,4,냉장,0.0,0.0,0.0
372642,5,냉장,2849.0,2849.0,0.0
370336,1,냉장,0.0,0.0,0.0
370336,2,냉장,0.0,0.0,0.0
370336,4,냉장,5624.0,5624.0,0.0
370336,5,냉장,0.0,0.0,0.0
391062,1,냉동,2588.0,2588.0,0.0
391062,2,냉동,0.0,0.0,0.0
391062,3,냉동,1288.0,1288.0,0.0
391062,4,냉동,3222.0,3222.0,0.0
391062,5,냉동,0.0,0.0,0.0
434705,1,실온,1455.3,1455.3,0.0
434705,2,실온,0.0,0.0,0.0
434705,4,실온,0.0,0.0,0.0
434705,5,실온,0.0,0.0,0.0
438025,1,실온,0.0,0.0,0.0
438025,2,실온,5700.0,5700.0,0.0
438025,4,실온,0.0,0.0,0.0
438025,5,실온,0.0,0.0,0.0
228381,1,냉장,3000.0,3000.0,0.0
228381,2,냉장,0.0,0.0,0.0
228381,4,냉장,0.0,0.0,0.0
228381,5,냉장,0.0,0.0,0.0
454439,1,실온,0.0,0.0,0.0
454439,2,실온,0.0,0.0,0.0
454439,4,실온,2628.0,2628.0,0.0
454439,5,실온,0.0,0.0,0.0
247343,1,냉동,1220.1,1220.1,0.0
247343,2,냉동,0.0,1109.03,1109.03
247343,3,냉동,1115.1,6.07,-1109.03
247343,4,냉동,0.0,0.0,0.0
247343,5,냉동,1169.7,1169.7,0.0
439111,1,냉동,1044.0,1044.0,0.0
439111,2,냉동,0.0,0.0,0.0
439111,3,냉동,516.0,516.0,0.0
